date,trend_index,mention_index,view_index,engagement_index,source_index
2026-03-05,24.5,12.7,40.3,31.8,33.3
2026-03-06,12.3,0.0,0.0,0.0,0.0
2026-03-07,8.2,0.0,0.0,0.0,0.0
2026-03-08,4.3,12.7,8.4,8.1,33.3
2026-03-09,4.3,0.0,0.0,0.0,0.0
2026-03-10,4.3,0.0,0.0,0.0,0.0
2026-03-11,11.5,20.7,60.5,38.7,33.3
2026-03-12,16.8,12.7,18.9,8.1,33.3
2026-03-13,16.8,0.0,0.0,0.0,0.0
2026-03-14,5.2,0.0,0.0,0.0,0.0
2026-03-15,0.0,0.0,0.0,0.0,0.0
2026-03-16,0.0,0.0,0.0,0.0,0.0
2026-03-17,0.0,0.0,0.0,0.0,0.0
2026-03-18,9.0,12.7,56.2,21.0,33.3
2026-03-19,21.9,12.7,76.5,66.1,33.3
2026-03-20,35.9,31.1,64.8,46.8,33.3
2026-03-21,33.2,12.7,30.8,8.1,33.3
2026-03-22,31.9,20.7,62.4,37.3,33.3
2026-03-23,27.6,12.7,58.4,32.6,33.3
2026-03-24,21.4,0.0,0.0,0.0,0.0
2026-03-25,9.7,0.0,0.0,0.0,0.0
2026-03-26,0.0,0.0,0.0,0.0,0.0
2026-03-27,13.1,26.5,70.3,34.6,33.3
2026-03-28,22.8,20.7,45.9,25.8,33.3
2026-03-29,31.5,20.7,35.7,22.8,33.3
2026-03-30,28.5,20.7,57.7,16.3,33.3
2026-03-31,27.4,12.7,54.4,16.3,33.3
2026-04-01,29.1,20.7,48.7,33.3,33.3
2026-04-02,25.5,12.7,28.7,21.0,33.3
2026-04-03,27.3,20.7,49.2,33.3,33.3
2026-04-04,25.1,12.7,45.7,21.0,33.3
2026-04-05,18.4,0.0,0.0,0.0,0.0
2026-04-06,23.4,20.7,79.7,81.4,33.3
2026-04-07,32.7,20.7,96.8,96.1,33.3
2026-04-08,40.7,12.7,42.9,22.8,33.3
2026-04-09,25.4,0.0,0.0,0.0,0.0
2026-04-10,7.9,0.0,0.0,0.0,0.0
2026-04-11,0.0,0.0,0.0,0.0,0.0
2026-04-12,11.6,31.1,42.8,34.6,33.3
2026-04-13,11.6,0.0,0.0,0.0,0.0
2026-04-14,23.1,20.7,61.4,36.8,33.3
2026-04-15,11.5,0.0,0.0,0.0,0.0
2026-04-16,27.0,26.5,76.7,70.3,33.3
2026-04-17,15.4,0.0,0.0,0.0,0.0
2026-04-18,15.4,0.0,0.0,0.0,0.0
2026-04-19,5.4,12.7,25.9,0.0,33.3
2026-04-20,5.4,0.0,0.0,0.0,0.0
2026-04-21,19.8,31.1,68.6,48.1,33.3
2026-04-22,14.4,0.0,0.0,0.0,0.0
2026-04-23,14.4,0.0,0.0,0.0,0.0
2026-04-24,0.0,0.0,0.0,0.0,0.0
2026-04-25,0.0,0.0,0.0,0.0,0.0
2026-04-26,6.2,12.7,27.7,12.9,33.3
2026-04-27,6.2,0.0,0.0,0.0,0.0
2026-04-28,6.2,0.0,0.0,0.0,0.0
2026-04-29,12.8,13.9,77.1,58.7,33.3
2026-04-30,12.8,0.0,0.0,0.0,0.0
2026-05-01,27.7,21.5,82.0,66.9,33.3
2026-05-02,24.1,10.2,59.1,29.2,33.3
2026-05-03,37.5,27.1,69.8,38.7,33.3
2026-05-04,28.9,5.7,36.2,24.4,33.3
2026-05-05,19.7,0.0,0.0,0.0,0.0
2026-05-06,18.2,19.0,64.0,45.9,33.3
2026-05-07,21.2,10.2,58.9,31.8,33.3
2026-05-08,21.2,0.0,0.0,0.0,0.0
2026-05-09,17.6,5.7,56.3,30.1,33.3
2026-05-10,8.3,0.0,0.0,0.0,0.0
2026-05-11,13.7,12.7,27.1,0.0,33.3
2026-05-12,19.2,12.7,80.9,74.3,33.3
2026-05-13,28.7,10.2,61.4,32.6,33.3
2026-05-14,32.6,12.7,56.1,29.2,33.3
2026-05-15,35.1,23.8,86.4,78.8,33.3
2026-05-16,36.5,18.0,60.4,34.6,33.3
2026-05-17,35.2,12.7,45.8,21.0,33.3
2026-05-18,33.7,23.8,75.0,67.1,33.3
2026-05-19,40.9,23.8,96.9,100.0,33.3
2026-05-20,40.1,5.7,47.3,24.4,33.3
2026-05-21,43.5,34.9,85.9,80.0,33.3
2026-05-22,41.1,24.5,73.9,65.7,66.7
2026-05-23,55.8,57.2,80.5,70.0,66.7
2026-05-24,62.0,61.3,88.8,88.4,66.7
2026-05-25,71.7,71.3,86.8,82.4,66.7
2026-05-26,81.9,100.0,100.0,100.0,66.7
