date,trend_index,mention_index,view_index,engagement_index,source_index
2026-03-05,24.5,12.7,40.3,31.8,33.3
2026-03-06,12.3,0.0,0.0,0.0,0.0
2026-03-07,8.2,0.0,0.0,0.0,0.0
2026-03-08,4.3,12.7,8.4,8.1,33.3
2026-03-09,4.3,0.0,0.0,0.0,0.0
2026-03-10,4.3,0.0,0.0,0.0,0.0
2026-03-11,11.5,20.7,60.5,38.7,33.3
2026-03-12,16.8,12.7,18.9,8.1,33.3
2026-03-13,16.8,0.0,0.0,0.0,0.0
2026-03-14,5.2,0.0,0.0,0.0,0.0
2026-03-15,0.0,0.0,0.0,0.0,0.0
2026-03-16,0.0,0.0,0.0,0.0,0.0
2026-03-17,0.0,0.0,0.0,0.0,0.0
2026-03-18,9.0,12.7,56.2,21.0,33.3
2026-03-19,21.9,12.7,76.5,66.1,33.3
2026-03-20,35.9,31.1,64.8,46.8,33.3
2026-03-21,33.2,12.7,30.8,8.1,33.3
2026-03-22,31.9,20.7,62.4,37.3,33.3
2026-03-23,27.6,12.7,58.4,32.6,33.3
2026-03-24,21.4,0.0,0.0,0.0,0.0
2026-03-25,9.7,0.0,0.0,0.0,0.0
2026-03-26,0.0,0.0,0.0,0.0,0.0
2026-03-27,13.1,26.5,70.3,34.6,33.3
2026-03-28,22.8,20.7,45.9,25.8,33.3
2026-03-29,31.5,20.7,35.7,22.8,33.3
2026-03-30,28.5,20.7,57.7,16.3,33.3
2026-03-31,27.4,12.7,54.4,16.3,33.3
2026-04-01,29.1,20.7,48.7,33.3,33.3
2026-04-02,25.5,12.7,28.7,21.0,33.3
2026-04-03,27.3,20.7,49.2,33.3,33.3
2026-04-04,25.1,12.7,45.7,21.0,33.3
2026-04-05,18.4,0.0,0.0,0.0,0.0
2026-04-06,23.4,20.7,79.7,81.4,33.3
2026-04-07,32.7,20.7,96.8,96.1,33.3
2026-04-08,40.7,12.7,42.9,22.8,33.3
2026-04-09,25.4,0.0,0.0,0.0,0.0
2026-04-10,7.9,0.0,0.0,0.0,0.0
2026-04-11,0.0,0.0,0.0,0.0,0.0
2026-04-12,11.6,31.1,42.8,34.6,33.3
2026-04-13,11.6,0.0,0.0,0.0,0.0
2026-04-14,23.1,20.7,61.4,36.8,33.3
2026-04-15,11.5,0.0,0.0,0.0,0.0
2026-04-16,29.5,34.9,76.7,70.3,66.7
2026-04-17,26.7,45.6,0.0,0.0,33.3
2026-04-18,34.1,38.1,0.0,0.0,33.3
2026-04-19,27.4,40.9,25.9,0.0,66.7
2026-04-20,27.4,45.6,0.0,0.0,33.3
2026-04-21,38.2,47.6,68.6,48.1,66.7
2026-04-22,36.0,47.6,0.0,0.0,33.3
2026-04-23,37.5,54.2,0.0,0.0,33.3
2026-04-24,27.1,40.9,0.0,0.0,33.3
2026-04-25,25.0,34.9,0.0,0.0,33.3
2026-04-26,27.3,43.4,27.7,12.9,66.7
2026-04-27,26.8,38.1,0.0,0.0,33.3
2026-04-28,28.9,47.6,0.0,0.0,33.3
2026-04-29,33.4,31.6,77.1,58.7,66.7
2026-04-30,35.5,51.2,0.0,0.0,33.3
2026-05-01,47.9,54.4,82.0,66.9,66.7
2026-05-02,46.4,40.2,59.1,29.2,66.7
2026-05-03,55.0,49.7,69.8,38.7,66.7
2026-05-04,48.4,50.1,36.2,24.4,66.7
2026-05-05,41.0,40.9,0.0,0.0,33.3
2026-05-06,41.6,53.8,64.0,45.9,66.7
2026-05-07,42.6,42.8,58.9,31.8,66.7
2026-05-08,41.0,31.1,0.0,0.0,33.3
2026-05-09,38.6,48.3,56.3,30.1,66.7
2026-05-10,30.7,40.9,0.0,0.0,33.3
2026-05-11,37.1,49.5,27.1,0.0,66.7
2026-05-12,41.9,51.2,80.9,74.3,66.7
2026-05-13,49.6,40.2,61.4,32.6,66.7
2026-05-14,51.0,34.9,56.1,29.2,66.7
2026-05-15,50.6,44.5,86.4,78.8,66.7
2026-05-16,50.6,39.9,60.4,34.6,66.7
2026-05-17,50.3,40.9,45.8,21.0,66.7
2026-05-18,48.0,39.5,75.0,67.1,66.7
2026-05-19,55.7,48.6,96.9,100.0,66.7
2026-05-20,56.2,41.9,47.3,24.4,66.7
2026-05-21,65.2,84.7,85.9,80.0,66.7
2026-05-22,68.7,90.9,73.9,65.7,66.7
2026-05-23,80.9,85.2,80.5,70.0,66.7
2026-05-24,83.8,97.7,88.8,88.4,66.7
2026-05-25,87.2,100.0,86.8,82.4,66.7
2026-05-26,92.8,100.0,100.0,100.0,66.7
